key,GroupIndex,SceneIndex,RUID,UseScale,SoundRUID
1-1,1,1,a24809b6b4c849d19ff27090f3bc1af0,0,6815405edf564e60aa61be7c3b74c9a9
1-2,1,2,30c4b4c7419446ee8161ee63032b108f,0,d879b6be959b4586b3a428b626605605
1-3,1,3,161ca978c3b14e769fef373ee790dbeb,0,d879b6be959b4586b3a428b626605605
1-4,1,4,3761a9644db34dd6836343ceed0efa26,0,6815405edf564e60aa61be7c3b74c9a9
1-5,1,5,f4865786a9ec4a23956f033446549d01,0,0a58ecf365204a2a9f8f92986e20e4a0
2-1,2,1,fba60885e8854dcb9d7b5b70d5468a71,0,c87f9cc6c7b64335be87f29dd68be0af
2-2,2,2,ef32cf429a4d405087293f63074901bf,0,
2-3,2,3,5d74ee0a7fcc462a9a80957ec3f11e54,0,545e81c6dccc4c42a7aab0888e360dd2
2-4,2,4,6277434f1943402b94fc1dd8d91d0741,0,8d253aeae2614a7dbb42592a8303e0b4
2-5,2,5,876f5437e8d245e68cae3b92beebb235,0,8d253aeae2614a7dbb42592a8303e0b4
2-6,2,6,f3e0c836a1074269a8bf774bea0574e1,0,8d253aeae2614a7dbb42592a8303e0b4
3-1,3,1,04b536a278e94948afbb5df4aed6985b,0,2e1b79ab613447c6bf332fa0adbfbaf4
3-2,3,2,239c1dd9a3854510b77eca7e22899587,0,c87f9cc6c7b64335be87f29dd68be0af
3-3,3,3,eb6f19b6a4d04c4590a7baef081a630c,0,c87f9cc6c7b64335be87f29dd68be0af
3-4,3,4,e0bdba08643444599630409ca8bfa709,0,df729638966840b29b268fc043b3ff90
3-5,3,5,2da43ec6d1e74242b7ac96e4c7e35957,0,d879b6be959b4586b3a428b626605605
3-6,3,6,903ca2e699024b6fad1f006e44e5979a,0,
4-1,4,1,15bbca97c9d843bcb53069e0199a3882,0,d5877c74802c460cbf97f4b6e4d255e8
4-2,4,2,27109ab5b6e7445a944510eee1dde503,0,
4-3,4,3,bbf9de309c0e4f17946ef46e58290a92,0,
4-4,4,4,0be5dca55af94a88b4f2fcb6021e14e0,0,
4-5,4,5,e3712934944f47e685dfc33ecf337100,0,f65bae9dc8ae4c00a2260a7477894ffb
4-6,4,6,59c1b3899aa743b8ae6dd84c8403a120,0,db7b79ea895444e59bec3f7c23fcb8b4
5-1,5,1,3a9c0572d27c4bb8bd5915ff1c658a7d,0,4cfc0d33b02447008ac01b1bf51b3bda
5-2,5,2,6863a15d03ea4db3927f2784c372d5db,0,a5272b164c2d41b883effc39040e8de6
5-3,5,3,20198a10c850475abedd27d76f3d0cbd,0,2522d516f6644d50a7857919cc4ad7e9
5-4,5,4,1f0a6dc5bb8b4554947728920188ec20,0,6dc5d2fc8839414991b9573fd438ae76
5-5,5,5,5535d5f7d0db4173b185eb708e8b7cc5,0,
5-6,5,6,ec3bab25d5a74c30a10e05615727f84f,0,d048171b80bc497292892b37229ca9dc
6-1,6,1,c9406865447e4b98bdd3b77fd8c1fc81,0,6dc5d2fc8839414991b9573fd438ae76
6-2,6,2,eefb25450c694f5cb586f49669a8f623,0,28da97a95995492caf7fd42b5587cfd5
